Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Sexo;Unidades de medida;Total
Total Nacional;;;Ambos sexos;Personas;47.400.798
Total Nacional;;;Hombres;Personas;23.248.611
Total Nacional;;;Mujeres;Personas;24.152.187
Total Nacional;01 Andalucía;;Ambos sexos;Personas;8.484.804
Total Nacional;01 Andalucía;;Hombres;Personas;4.182.620
Total Nacional;01 Andalucía;;Mujeres;Personas;4.302.184
Total Nacional;01 Andalucía;04 Almería;Ambos sexos;Personas;730.430
Total Nacional;01 Andalucía;04 Almería;Hombres;Personas;372.823
Total Nacional;01 Andalucía;04 Almería;Mujeres;Personas;357.607
Total Nacional;01 Andalucía;11 Cádiz;Ambos sexos;Personas;1.249.873
Total Nacional;01 Andalucía;11 Cádiz;Hombres;Personas;616.595
Total Nacional;01 Andalucía;11 Cádiz;Mujeres;Personas;633.278
Total Nacional;01 Andalucía;14 Córdoba;Ambos sexos;Personas;777.622
Total Nacional;01 Andalucía;14 Córdoba;Hombres;Personas;380.859
Total Nacional;01 Andalucía;14 Córdoba;Mujeres;Personas;396.763
Total Nacional;01 Andalucía;18 Granada;Ambos sexos;Personas;925.046
Total Nacional;01 Andalucía;18 Granada;Hombres;Personas;456.393
Total Nacional;01 Andalucía;18 Granada;Mujeres;Personas;468.653
Total Nacional;01 Andalucía;21 Huelva;Ambos sexos;Personas;527.254
Total Nacional;01 Andalucía;21 Huelva;Hombres;Personas;261.186
Total Nacional;01 Andalucía;21 Huelva;Mujeres;Personas;266.068
Total Nacional;01 Andalucía;23 Jaén;Ambos sexos;Personas;627.568
Total Nacional;01 Andalucía;23 Jaén;Hombres;Personas;310.930
Total Nacional;01 Andalucía;23 Jaén;Mujeres;Personas;316.638
Total Nacional;01 Andalucía;29 Málaga;Ambos sexos;Personas;1.696.955
Total Nacional;01 Andalucía;29 Málaga;Hombres;Personas;831.211
Total Nacional;01 Andalucía;29 Málaga;Mujeres;Personas;865.744
Total Nacional;01 Andalucía;41 Sevilla;Ambos sexos;Personas;1.950.056
Total Nacional;01 Andalucía;41 Sevilla;Hombres;Personas;952.623
Total Nacional;01 Andalucía;41 Sevilla;Mujeres;Personas;997.433
Total Nacional;02 Aragón;;Ambos sexos;Personas;1.331.938
Total Nacional;02 Aragón;;Hombres;Personas;658.263
Total Nacional;02 Aragón;;Mujeres;Personas;673.675
Total Nacional;02 Aragón;22 Huesca;Ambos sexos;Personas;223.995
Total Nacional;02 Aragón;22 Huesca;Hombres;Personas;113.456
Total Nacional;02 Aragón;22 Huesca;Mujeres;Personas;110.539
Total Nacional;02 Aragón;44 Teruel;Ambos sexos;Personas;134.259
Total Nacional;02 Aragón;44 Teruel;Hombres;Personas;68.143
Total Nacional;02 Aragón;44 Teruel;Mujeres;Personas;66.116
Total Nacional;02 Aragón;50 Zaragoza;Ambos sexos;Personas;973.684
Total Nacional;02 Aragón;50 Zaragoza;Hombres;Personas;476.664
