comunidad;poblacion;superficie
Andalucía;8676713;8759886
Aragón;1364621;4773965
Asturias, Principado de;1015128;106057
Balears, Illes;1249844;49917
Canarias;2258866;744558
Cantabria;593623;53302
Castilla y León;2401221;9421691
Castilla - La Mancha;2126378;7944744
Cataluña;8124126;3211265
Comunitat Valenciana;5425182;2326523
Extremadura;1053345;416336
Galicia;2714741;2958391
Madrid, Comunidad de;7113886;802747
Murcia, Región de;1586989;1131617
Navarra, Comunidad Foral de;683854;1039216
País Vasco;2242343;723427
Rioja, La;326803;504509
Ceuta y Melilla;170634;3411
